ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 656115, 234171, 751084, 248916, 248915, 703382, 296618, 426280, 738510,   1153,CityofGlendaleWards612
 656250, 175154, 802469, 197531, 196759, 761574, 238426, 391975, 704475,   1296,CityofMilwaukeeWard241
 656727, 249235, 732415, 267585, 252293, 672782, 327218, 484710, 798165,    654,CityofMilwaukeeWard206
 656970, 198522, 786703, 213297, 216989, 742382, 257618, 407665, 721605,   1083,CityofMilwaukeeWard243
 657892, 222807, 752631, 247369, 243859, 710526, 289474, 394740, 710525,    570,CityofMilwaukeeWard188
 657967, 161172, 818223, 181777, 182692, 776556, 223444, 392400, 708335,   2184,CityofMilwaukeeWard177
 659892, 176548, 802131, 197869, 199200, 760826, 239174, 386740, 706525,   1501,CityofMilwaukeeWard168
 660667, 393316, 585261, 414739, 424164, 551842, 448158, 345760, 667095,   1167,CityofWauwatosaWard21
 663352, 221590, 758522, 241478, 230113, 701704, 298296, 457385, 784090,    352,CityofMilwaukeeWard130
 666830, 262021, 719332, 280668, 296368, 686947, 313053, 328265, 661925,   1019,CityofWauwatosaWard6
 667105, 324538, 664907, 335093, 352682, 626209, 373791, 359280, 693490,   1137,CityofWauwatosaWard18
 667542, 399766, 581585, 418415, 435314, 550116, 449884, 322260, 657345,   1716,CityofWauwatosaWard20
 667920, 180660, 795599, 204401, 198610, 746381, 253619, 410250, 746090,   1727,CityofMilwaukeeWard178
 668880, 183353, 792521, 207479, 200241, 741857, 258143, 415560, 753320,    829,CityofMilwaukeeWard192
 668980, 282438, 707302, 292698, 305371, 662643, 337357, 385335, 723295,   1657,CityofGlendaleWards410
 669157, 285612, 698717, 301283, 320512, 665954, 334046, 325500, 663815,   1404,CityofWauwatosaWard3
 670117, 251479, 732248, 267752, 269230, 681952, 318048, 411245, 751480,    676,CityofMilwaukeeWard93
 670325, 225586, 761544, 238456, 258137, 725965, 274035, 337245, 677895,   1321,CityofWauwatosaWard2
 671360, 468544, 516431, 483569, 496713, 476056, 523944, 359155, 701875,   1065,CityofGreenfieldWard9
 671362, 268088, 712109, 287891, 301599, 677075, 322925, 332445, 675170,   1313,CityofWauwatosaWard1
 673952, 159482, 817733, 182267, 179187, 767857, 232143, 401475, 749380,   1624,CityofMilwaukeeWard182
 674505, 559939, 433990, 566010, 585735, 389984, 610016, 371020, 720030,    659,CityofFranklinWard5
 677210, 272103, 711890, 288110, 295731, 664634, 335366, 381860, 736280,   1312,CityofGlendaleWards511D
 684887, 408360, 559485, 440515, 440514, 517684, 482316, 339230, 709005,    311,CityofFranklinWard21
 684930, 304109, 682191, 317809, 338812, 642922, 357078, 326485, 696345,   1095,CityofWauwatosaWard5
 686675, 319470, 663516, 336484, 345935, 615311, 384689, 367675, 741025,   1058,CityofWauwatosaWard24
 687087, 254585, 721936, 278064, 278063, 670579, 329421, 382610, 756785,   1363,CityofGlendaleWards17
 692307, 192307, 792022, 207978, 223646, 746438, 253562, 343305, 727920,    702,CityofMilwaukeeWard245
 692967, 195540, 785591, 214409, 219554, 732418, 267582, 379930, 765865,    583,CityofMilwaukeeWard234
 693927, 252951, 731871, 268129, 276559, 677908, 322092, 381960, 769815,    593,CityofMilwaukeeWard87
 695037, 164133, 819655, 180345, 189463, 766970, 233030, 373350, 763425,    987,CityofMilwaukeeWard129
 695262, 325864, 651728, 348272, 366837, 614596, 385404, 295135, 685660,   1562,CityofWauwatosaWard7
 695740, 320118, 656095, 343905, 350842, 608523, 391477, 346380, 737860,   1009,CityofMilwaukeeWard83
 696312, 446227, 534312, 465688, 479344, 488904, 511096, 334415, 727040,   2929,COakCreekWards16171819
 699407, 570162, 413589, 586411, 602658, 366322, 633678, 337520, 736335,    677,CityofFranklinWard22B
 701132, 192067, 788101, 211899, 218696, 734277, 265723, 366855, 769120,   1765,CityofMilwaukeeWard235
 702577, 607734, 384898, 615102, 633517, 329650, 670350, 371085, 776240,    543,CityofFranklinWard15A
 705147, 219840, 768524, 231476, 241886, 708511, 291489, 389770, 800065,   1633,CityofMilwaukeeWard132
 705265, 265964, 708070, 291930, 308771, 668771, 331229, 285965, 696495,   1425,CityofWauwatosaWard10
 706125, 591283, 396937, 603063, 627797, 351001, 648999, 317430, 729680,    849,CityofFranklinWard12
 707540, 342205, 639416, 360584, 386565, 600760, 399240, 278200, 693280,   1578,CityofWauwatosaWard12
 709975, 233595, 755905, 244095, 254593, 692913, 307087, 395010, 814960,   1143,CityofMilwaukeeWard131
 710877, 282842, 703158, 296842, 308327, 644292, 355708, 372575, 794330,   2786,VFoxPointWards56789
 715267, 311146, 667723, 332277, 358161, 628631, 371369, 264925, 695460,   1893,CityofWauwatosaWard4
 717950, 530769, 453846, 546154, 561538, 397435, 602565, 346155, 782055,    390,CityofFranklinWard15B
 718052, 202301, 780133, 219867, 227135, 717746, 282254, 375830, 811935,   1651,CityofMilwaukeeWard181
 719040, 181971, 804549, 195451, 209772, 744734, 255266, 360995, 799075,   1187,CityofMilwaukeeWard180
 724187, 556146, 424693, 575307, 598988, 377860, 622140, 285790, 734165,   3758,COakCreekWards101112
 724797, 238419, 732970, 267030, 284741, 689373, 310627, 268390, 717985,    734,CityofWauwatosaWard13
 725517, 497422, 491623, 508377, 535438, 439432, 560568, 309920, 760955,   1552,VHalesCornersWards789
 727117, 148009, 837019, 162981, 175569, 773732, 226268, 362200, 816435,   2939,VShorewoodWards5678
 727552, 536346, 443494, 556506, 576664, 392791, 607209, 298410, 753515,   1637,VHalesCornersWards123
 727837, 210159, 762450, 237550, 244521, 705677, 294323, 328190, 783865,   2008,CityofMilwaukeeWard185
 730582, 155339, 839805, 160195, 160194, 752427, 247573, 475725, 936890,    206,CityofMilwaukeeWard233
 734295, 467597, 520438, 479562, 499501, 458624, 541376, 340480, 809070,   1003,CityofFranklinWard9
 735247, 260765, 726475, 273525, 302232, 673843, 326157, 292665, 763160,   1254,VillageofBaysideWards24
 742760, 495173, 482964, 517036, 539750, 430437, 569563, 277115, 762635,   3522,COakCreekWards123
 743037, 234055, 749845, 250155, 269969, 688544, 311456, 320430, 806505,   1615,VWhitefishBayWards911
 743645, 542372, 449152, 550848, 580508, 389830, 610170, 309320, 796610,    472,CityofFranklinWard18
 747007, 427145, 551896, 448104, 462075, 488023, 511977, 325350, 819365,   1002,CityofFranklinWard8
 747215, 551532, 441504, 558496, 590529, 381615, 618385, 305015, 799445,    718,CityofFranklinWard22A
 747352, 196254, 780944, 219056, 231677, 717426, 282574, 322885, 817590,   2456,CityofMilwaukeeWard183
 749997, 307547, 664150, 335850, 366037, 622641, 377359, 207550, 707545,   1590,CityofWauwatosaWard16
 750362, 457184, 515239, 484761, 500725, 458635, 541365, 282295, 783020,    689,CityofMilwaukeeWard210
 750717, 395415, 593123, 406877, 432664, 530085, 469915, 313755, 815190,    698,CityofWauwatosaWard8
 750990, 462351, 523117, 476883, 509907, 470277, 529723, 262220, 764200,    757,CityofFranklinWard17
 753402, 465392, 514624, 485376, 513756, 461627, 538373, 258180, 764985,   3453,COakCreekWards456
 755610, 542809, 448877, 551123, 586034, 389858, 610142, 283875, 795095,   1203,CityofFranklinWard11
 756890, 588972, 402255, 597745, 630325, 340852, 659148, 293235, 807015,    798,CityofFranklinWard4
 762620, 200545, 781718, 218282, 240109, 716234, 283766, 302180, 827420,    733,CityofMilwaukeeWard187
 762692, 561135, 425491, 574509, 606441, 365720, 634280, 273470, 798855,   3664,COakCreekWards131415
